ScriptName,LineNumber,ErrorType,Severity,IssueSummary,CurrentCode,SuggestedFix,Impact
"Enable-BitLocker.ps1",98,"Missing Null Check","LOW","Property access without null check","$volume = Get-BitLockerVolume -MountPoint $MountPoint; Write-Host ""  Protection Status: $($volume.ProtectionStatus)""","if ($volume) { Write-Host } else { Write-Host ""BitLocker not found"" }","Potential null reference exception"
"Enable-BitLocker.ps1",101,"Undefined Variable Reference","LOW","$recoveryKeyPath may be null if recovery password not found","Write-Host ""  Recovery Key: $recoveryKeyPath`n""","Ensure $recoveryKeyPath is set before use","Empty/null output"
"CIS_Level2_Mandatory.ps1",82,"Incorrect Method Call","HIGH","GetValueKind method may not exist on Registry.Item object","OldType = (Get-Item $regPath).GetValueKind($Name)","OldType = (Get-ItemProperty -Path $regPath -Name $Name).GetType().Name","Script crash during rollback"
"CIS_Level2_Mandatory.ps1",201,"AuditPol Subcategory Validation","MEDIUM","Audit policy subcategory names should be verified","auditpol /set /subcategory:""Logon/Logoff"" /success:enable /failure:enable","Run 'auditpol /list /subcategory:*' to verify exact names","Audit policy configuration may fail silently"
"CIS_Level2_Mandatory.ps1",216,"Invalid Process Mitigation Parameters","MEDIUM","DEP parameter may not be valid in Set-ProcessMitigation","Set-ProcessMitigation -System -Enable DEP, EmulateAtlThunks, BottomUpASLR, TopDownASLR","Set-ProcessMitigation -System -Enable EmulateAtlThunks, BottomUpASLR, TopDownASLR, StrictHandle","Exploit protection settings may not apply"
"CIS_Level2_Mandatory.ps1",245,"Undefined Variable in Path","MEDIUM","$PSScriptRoot\..\hardening\rollback path may not exist","$rollbackPath = ""$PSScriptRoot\rollback\rollback-$(Get-Date -Format 'yyyyMMdd-HHmmss').json""","Add directory creation before use","Rollback data save may fail"
"CIS_Level1+2_Complete.ps1",53,"Complex Nested Expression","HIGH","Switch statement in Write-Log may cause parsing issues","Write-Host ... -ForegroundColor $(switch($Level){...})","Use if-elseif-else instead of nested switch in parameter","Script parsing failure"
"CIS_Level1+2_Complete.ps1",181,"Incorrect Parameter Value Type","MEDIUM","EnableNetworkProtection expects Enabled/Disabled/Audit, not string","Set-MpPreference -EnableNetworkProtection ""Enabled"" -ErrorAction SilentlyContinue","Set-MpPreference -EnableNetworkProtection Enabled -ErrorAction SilentlyContinue","Defender setting may not apply"
"CIS_Level1+2_Complete.ps1",182,"Incorrect Parameter Value Type","MEDIUM","EnableControlledFolderAccess expects Enabled/Disabled/AuditMode, not string","Set-MpPreference -EnableControlledFolderAccess ""Enabled"" -ErrorAction SilentlyContinue","Set-MpPreference -EnableControlledFolderAccess Enabled -ErrorAction SilentlyContinue","Defender setting may not apply"
"CIS_Level1+2_Complete.ps1",220,"Registry Path Existence","MEDIUM","DeviceGuard registry path may not exist on all systems","Set-RegistryValue -Path ""HKLM:\System\CurrentControlSet\Control\DeviceGuard\Scenarios\HypervisorEnforcedCodeIntegrity""","Add Test-Path check before setting registry value","Registry operation may fail silently"
"CIS_Level1+2_Complete.ps1",243,"Critical Service in Disable List","CRITICAL","RpcSs (RPC) is a critical Windows service that should NOT be disabled","@{Name=""RpcSs""; Desc=""RPC""},","Remove RpcSs from servicesToDisable array","System will become unbootable"
"CIS_Level1+2_Complete.ps1",263,"Undefined Variable Reference","MEDIUM","$rollbackPath variable may be undefined at line 309 if DryRun is true","Write-Host ""To restore previous configuration, run: .\CIS_Rollback.ps1 -RollbackFile `""$rollbackPath`""","Wrap in if statement checking if rollback was created","Error or misleading output"
"CIS_Level1+2_Complete.ps1",169,"Hardcoded Log Path","LOW","Firewall log path uses %systemroot% which may not expand in PowerShell","Set-NetFirewallProfile ... -LogFileName ""%systemroot%\System32\LogFiles\Firewall\pfirewall.log""","Set-NetFirewallProfile ... -LogFileName ""$env:SystemRoot\System32\LogFiles\Firewall\pfirewall.log""","Firewall logging may not work correctly"
"Prepare-System-for-Capture.ps1",39,"Incorrect Command Syntax","MEDIUM","net.exe command may not parse correctly without error handling","net user Administrator /logonpasswordchg:yes 2>$null","$null = net user Administrator /logonpasswordchg:yes 2>&1","Command output not captured"
"build/packer/provisioners/install-updates.ps1",28,"Incorrect ResultCode Check","LOW","ResultCode 2 means updates installed with reboot required, should verify all codes","if ($result.ResultCode -eq 2)","if ($result.ResultCode -eq 2 -or $result.ResultCode -eq 3)","May not handle all update scenarios"
